C_invoice,Numero documento,Lote,Monto
1556306,1124810,1206298, 198.00
1556157,1124747,1206111, 49.00
1576021,1132045,1217481, 15.00
1575974,1132017,1217423, 45.00
1556321,1124822,1206317, 98.00
1559563,1126003,1209937, 45.00
1556505,1124900,1206580, 49.00
1566833,1126928,1214146, 49.00
1559879,1126199,1210244, 99.00
1559599,1126025,1209973, 98.00
1556598,1124938,1206736, 49.00
1576323,1132229,1217753, 99.00
1556671,1124986,1206812, 49.00
1556714,1125009,1206909, 30.00
1556719,1125012,1206914, 49.00
1556722,1125015,1206916, 98.00
1556839,1125069,1207040, 49.00
1576624,1132387,1218048, 49.00
1557045,1125167,1207243, 99.00
1583264,1134333,1224585, 49.00
1566916,1126976,1214225, 98.00
1557596,1125426,1207798, 98.00
1557657,1125462,1207861, 49.00
1558304,1125549,1208839, 198.00
1558866,1125644,1209076, 49.00
1583535,1134474,1224852, 99.00
1559006,1125692,1209231, 15.00
1585728,1135152,1226950, 49.00
1559182,1125782,1209482, 39.00
1559183,1125783,1209483, 39.00
1559185,1125785,1209486, 78.00
1559186,1125786,1209487, 78.00
1559190,1125788,1209491, 39.00
1559199,1125790,1209553, 78.00
1559203,1125793,1209557, 39.00
1559211,1125798,1209565, 195.00
1566703,1126869,1214015, 78.00
1559237,1125807,1209591, 39.00
1559241,1125808,1209595, 39.00
1559246,1125813,1209600, 78.00
1559249,1125815,1209603, 39.00
1559259,1125820,1209613, 39.00
1559262,1125823,1209617, 39.00
1559265,1125824,1209620, 39.00
1559268,1125825,1209624, 39.00
1559273,1125829,1209629, 78.00
1559277,1125831,1209633, 39.00
1559282,1125836,1209639, 156.00
1559284,1125838,1209640, 39.00
1559286,1125839,1209642, 39.00
1583342,1134378,1224661, 78.00
1559290,1125841,1209646, 39.00
1566878,1126954,1214181, 39.00
1559308,1125850,1209664, 39.00
1559309,1125851,1209665, 39.00
1559312,1125854,1209669, 78.00
1559311,1125853,1209668, 39.00
1559317,1125855,1209673, 78.00
1559322,1125859,1209678, 156.00
1559323,1125860,1209679, 39.00
1576510,1132325,1217940, 39.00
1559333,1125864,1209700, 39.00
1576533,1132338,1217962, 78.00
1559343,1125871,1209710, 39.00
1576531,1132337,1217961, 78.00
1559347,1125873,1209716, 39.00
1566756,1126895,1214070, 39.00
1576634,1132392,1218058, 39.00
1576660,1132407,1218088, 39.00
1559400,1125908,1209770, 78.00
1576050,1132061,1217504, 39.00
1559413,1125915,1209781, 78.00
1566894,1126962,1214206, 39.00
1559415,1125917,1209784, 39.00
1566895,1126963,1214207, 39.00
1559419,1125920,1209789, 78.00
1576636,1132393,1218060, 78.00
1583175,1134296,1224510, 39.00
1559438,1125930,1209808, 39.00
1559441,1125933,1209813, 39.00
1559440,1125932,1209812, 39.00
1559447,1125937,1209819, 117.00
1559454,1125940,1209827, 45.00
1559471,1125951,1209846, 156.00
1559485,1125958,1209858, 39.00
1559520,1125975,1209894, 39.00
1559531,1125982,1209903, 39.00
1589014,1136227,1230125, 390.00
1589012,1136226,1230124, 390.00
1559554,1125995,1209928, 39.00
1583170,1134293,1224511, 39.00
1559567,1126004,1209941, 39.00
1566877,1126953,1214180, 78.00
1559573,1126008,1209947, 39.00
1576333,1132233,1217763, 39.00
1559604,1126028,1209982, 39.00
1559600,1126026,1209974, 195.00
1559621,1126038,1209995, 39.00
1576334,1132234,1217764, 39.00
1576640,1132395,1218061, 117.00
1576656,1132404,1218083, 117.00
1559678,1126075,1210054, 39.00
1559698,1126088,1210074, 39.00
1559717,1126101,1210091, 78.00
1559721,1126104,1210094, 39.00
1559731,1126109,1210105, 117.00
1559736,1126112,1210109, 78.00
1651023,1154823,1289879, 39.00
1559741,1126114,1210113, 39.00
1559742,1126115,1210114, 39.00
1650987,1154822,1289877, 39.00
1559761,1126125,1210131, 78.00
1559762,1126126,1210132, 39.00
1559763,1126127,1210133, 39.00
1559777,1126139,1210148, 39.00
1559801,1126156,1210169, 39.00
1559834,1126177,1210201, 78.00
1559863,1126192,1210229, 39.00
1559876,1126197,1210242, 78.00
1559929,1126224,1210293, 39.00
1559940,1126229,1210301, 39.00
1559941,1126230,1210302, 39.00
1559943,1126231,1210306, 39.00
1559952,1126237,1210312, 39.00
1559975,1126243,1210333, 39.00
1559978,1126245,1210336, 39.00
1559995,1126252,1210352, 39.00
1559999,1126256,1210356, 39.00
1559996,1126253,1210354, 39.00
1560013,1126263,1210371, 39.00
1560031,1126271,1210389, 39.00
1560033,1126272,1210391, 39.00
1560042,1126275,1210398, 39.00
1653971,1155820,1291961, 39.00
1560068,1126285,1210419, 78.00
1560083,1126296,1210428, 39.00
1560124,1126323,1210452, 39.00
1560111,1126317,1210439, 234.00
1560115,1126319,1210443, 39.00
1560121,1126322,1210451, 78.00
1560126,1126325,1210455, 39.00
1560125,1126324,1210454, 78.00
1560137,1126330,1210468, 39.00
1560139,1126331,1210470, 39.00
1560153,1126337,1210481, 468.00
1560155,1126339,1210485, 39.00
1576522,1132332,1217952, 78.00
1560172,1126347,1210498, 39.00
1560178,1126353,1210504, 78.00
1560184,1126357,1210510, 39.00
1560193,1126363,1210516, 39.00
1560198,1126364,1210520, 39.00
1560202,1126367,1210526, 39.00
1560208,1126370,1210533, 117.00
1560207,1126369,1210534, 78.00
1576667,1132409,1218089, 78.00
1560245,1126385,1210568, 30.00
1560257,1126391,1210579, 39.00
1560270,1126398,1210592, 39.00
1588802,1136105,1229918, 39.00
1560311,1126420,1210637, 39.00
1576392,1132270,1217818, 39.00
1560391,1126425,1211216, 30.00
1576685,1132419,1218107, 60.00
1560887,1126443,1213030, 78.00
1561056,1126448,1213043, 78.00
1561088,1126449,1213045, 78.00
1561242,1126453,1213058, 39.00
1561309,1126459,1213067, 39.00
1561385,1126461,1213071, 39.00
1561472,1126464,1213074, 507.00
1561619,1126469,1213083, 78.00
1561649,1126470,1213084, 39.00
1561708,1126472,1213090, 39.00
1561826,1126479,1213108, 39.00
1612980,1142953,1252136, 39.00
1612981,1142954,1252137, 39.00
1562542,1126496,1213167, 78.00
1562726,1126505,1213186, 39.00
1562820,1126510,1213197, 78.00
1562855,1126512,1213203, 39.00
1562967,1126513,1213206, 39.00
1562987,1126514,1213210, 39.00
1563046,1126517,1213215, 39.00
1563069,1126518,1213218, 39.00
1563077,1126519,1213219, 39.00
1563171,1126521,1213230, 39.00
1585724,1135150,1226946, 39.00
1563216,1126525,1213236, 78.00
1563222,1126526,1213238, 39.00
1563243,1126527,1213241, 39.00
1585729,1135153,1226951, 39.00
1563326,1126533,1213249, 39.00
1563505,1126551,1213282, 195.00
1563863,1126568,1213331, 39.00
1563873,1126570,1213334, 39.00
1563912,1126573,1213336, 234.00
1563876,1126571,1213335, 39.00
1563984,1126574,1213348, 234.00
1564039,1126579,1213353, 39.00
1564343,1126594,1213388, 39.00
1564818,1126613,1213442, 45.00
1564847,1126615,1213446, 78.00
1564884,1126619,1213452, 78.00
1565030,1126626,1213469, 39.00
1565117,1126628,1213475, 78.00
1565174,1126629,1213482, 39.00
1565284,1126633,1213497, 78.00
1565300,1126634,1213500, 39.00
1565423,1126644,1213509, 39.00
1565383,1126641,1213507, 39.00
1565416,1126643,1213511, 39.00
1565472,1126645,1213516, 39.00
1565509,1126646,1213517, 78.00
1565636,1126654,1213530, 78.00
1565738,1126663,1213547, 39.00
1565816,1126664,1213559, 39.00
1576451,1132298,1217879, 78.00
1565838,1126665,1213561, 39.00
1565881,1126669,1213568, 78.00
1566282,1126683,1213596, 195.00
1566285,1126685,1213599, 39.00
1575430,1131660,1216710, 60.00
1575644,1131822,1217039, 75.00
1575735,1131893,1217182, 150.00
1575791,1131913,1217242, 75.00
1575803,1131916,1217254, 15.00
1575807,1131919,1217258, 75.00
1575811,1131921,1217262, 75.00
1575812,1131922,1217263, 150.00
1575814,1131923,1217265, 150.00
1575817,1131924,1217268, 75.00
1575819,1131925,1217270, 75.00
1575825,1131928,1217276, 150.00
1575829,1131931,1217280, 90.00
1575830,1131932,1217281, 150.00
1575833,1131935,1217284, 75.00
1575838,1131938,1217289, 75.00
1583641,1134527,1224949, 75.00
1575847,1131944,1217298, 75.00
1575854,1131948,1217305, 75.00
1575859,1131951,1217309, 75.00
1575867,1131954,1217318, 75.00
1575866,1131953,1217317, 150.00
1575871,1131958,1217322, 150.00
1575868,1131955,1217320, 150.00
1575883,1131965,1217334, 329.00
1575879,1131963,1217330, 150.00
1575880,1131964,1217332, 150.00
1575915,1131981,1217364, 150.00
1575918,1131982,1217369, 75.00
1575912,1131979,1217363, 75.00
1575921,1131984,1217371, 75.00
1575920,1131983,1217370, 75.00
1575922,1131985,1217372, 75.00
1575924,1131986,1217374, 75.00
1575928,1131989,1217378, 75.00
1586071,1135322,1227259, 75.00
1575937,1131993,1217386, 75.00
1583303,1134358,1224624, 75.00
1575946,1132000,1217396, 75.00
1576010,1132039,1217459, 76.00
1575976,1132019,1217426, 75.00
1575978,1132021,1217430, 150.00
1589180,1136304,1230279, 75.00
1575995,1132030,1217446, 75.00
1575980,1132022,1217433, 75.00
1575991,1132027,1217442, 150.00
1576000,1132033,1217450, 75.00
1588624,1136006,1229735, 75.00
1576048,1132060,1217503, 75.00
1576061,1132070,1217513, 75.00
1576203,1132162,1217645, 75.00
1576060,1132069,1217510, 329.00
1576064,1132071,1217516, 150.00
1576085,1132081,1217537, 150.00
1576078,1132078,1217528, 75.00
1576109,1132092,1217555, 75.00
1576117,1132097,1217562, 75.00
1576124,1132103,1217568, 150.00
1586239,1135423,1227421, 150.00
1576137,1132115,1217582, 150.00
1576148,1132122,1217592, 150.00
1595315,1137518,1235881, 75.00
1576144,1132119,1217587, 75.00
1576153,1132125,1217597, 75.00
1595029,1137365,1235601, 30.00
1583316,1134363,1224638, 75.00
1604769,1140486,1244059, 75.00
1577460,1132626,1219405, 75.00
1576168,1132136,1217609, 75.00
1576166,1132134,1217610, 75.00
1576170,1132138,1217613, 75.00
1576172,1132140,1217615, 75.00
1576176,1132143,1217619, 150.00
1576179,1132145,1217621, 75.00
1576190,1132152,1217633, 150.00
1576188,1132150,1217631, 75.00
1576196,1132156,1217642, 150.00
1576201,1132161,1217644, 150.00
1576218,1132171,1217662, 150.00
1576208,1132165,1217650, 150.00
1576212,1132168,1217654, 75.00
1576229,1132178,1217671, 75.00
1576239,1132182,1217678, 75.00
1583293,1134353,1224614, 75.00
1576260,1132192,1217698, 150.00
1576264,1132194,1217709, 75.00
1576277,1132199,1217712, 75.00
1576280,1132201,1217717, 150.00
1586212,1135406,1227401, 75.00
1576304,1132217,1217738, 75.00
1576326,1132230,1217757, 75.00
1576316,1132224,1217742, 150.00
1576332,1132232,1217766, 75.00
1576346,1132242,1217777, 75.00
1576348,1132243,1217779, 45.00
1576349,1132244,1217780, 75.00
1576390,1132268,1217820, 75.00
1576350,1132245,1217781, 75.00
1576360,1132249,1217790, 150.00
1583272,1134339,1224594, 75.00
1576370,1132256,1217798, 165.00
1576371,1132257,1217803, 150.00
1576381,1132263,1217810, 75.00
1576396,1132273,1217825, 75.00
1576393,1132271,1217824, 150.00
1576424,1132289,1217864, 75.00
1576398,1132274,1217827, 75.00
1576408,1132279,1217837, 150.00
1576406,1132277,1217835, 75.00
1576460,1132301,1217889, 75.00
1576477,1132309,1217907, 75.00
1576495,1132317,1217924, 150.00
1576549,1132349,1217977, 150.00
1576555,1132351,1217984, 75.00
1576583,1132365,1218009, 75.00
1576584,1132366,1218010, 75.00
1576613,1132379,1218034, 45.00
1576597,1132371,1218022, 76.00
1576618,1132383,1218042, 75.00
1583330,1134370,1224647, 60.00
1576770,1132452,1218185, 75.00
1576744,1132439,1218163, 75.00
1576756,1132445,1218173, 150.00
1576766,1132449,1218181, 75.00
1576774,1132454,1218188, 150.00
1576809,1132459,1218204, 30.00
1576820,1132464,1218214, 75.00
1576822,1132465,1218218, 75.00
1576823,1132466,1218219, 150.00
1576837,1132472,1218232, 150.00
1576874,1132491,1218274, 75.00
1576844,1132474,1218238, 75.00
1576851,1132480,1218245, 75.00
1576855,1132484,1218249, 75.00
1576861,1132488,1218254, 75.00
1576886,1132494,1218278, 75.00
1576893,1132497,1218283, 150.00
1576887,1132495,1218279, 75.00
1576891,1132496,1218282, 75.00
1576900,1132502,1218290, 75.00
1576909,1132509,1218299, 75.00
1576912,1132512,1218302, 75.00
1576943,1132530,1218330, 45.00
1576947,1132534,1218334, 150.00
1576955,1132539,1218340, 75.00
1576992,1132554,1218374, 135.00
1577003,1132559,1218383, 150.00
1577012,1132561,1218389, 150.00
1577014,1132563,1218392, 150.00
1577049,1132581,1218425, 75.00
1577054,1132584,1218427, 75.00
1577051,1132583,1218429, 75.00
1577058,1132586,1218432, 75.00
1577063,1132590,1218438, 75.00
1577066,1132591,1218441, 150.00
1577070,1132593,1218444, 150.00
1577083,1132598,1218457, 150.00
1577094,1132604,1218468, 75.00
1577100,1132607,1218474, 75.00
1577266,1132616,1219381, 75.00
1577285,1132617,1219382, 150.00
1577446,1132624,1219400, 75.00
1577586,1132636,1219419, 75.00
1577616,1132637,1219421, 150.00
1577623,1132638,1219423, 75.00
1577645,1132640,1219425, 150.00
1577635,1132639,1219430, 150.00
1577728,1132645,1219457, 75.00
1577745,1132646,1219459, 75.00
1577888,1132652,1219478, 75.00
1577918,1132654,1219481, 75.00
1578005,1132657,1219485, 75.00
1578036,1132658,1219487, 75.00
1578121,1132663,1219505, 75.00
1578120,1132662,1219504, 75.00
1578168,1132666,1219514, 75.00
1578181,1132672,1219525, 75.00
1578419,1132757,1219762, 150.00
1578199,1132677,1219542, 150.00
1578209,1132681,1219552, 75.00
1578232,1132684,1219573, 150.00
1578272,1132701,1219609, 75.00
1578256,1132694,1219594, 90.00
1578247,1132689,1219587, 150.00
1578251,1132691,1219591, 75.00
1578253,1132693,1219593, 75.00
1578257,1132695,1219596, 75.00
1578284,1132705,1219621, 75.00
1578296,1132708,1219633, 150.00
1578396,1132747,1219736, 30.00
1578400,1132750,1219740, 150.00
1578402,1132752,1219742, 329.00
1578407,1132753,1219747, 75.00
1578428,1132762,1219768, 150.00
1578432,1132763,1219773, 150.00
1578462,1132768,1219802, 75.00
1578461,1132767,1219801, 30.00
1578533,1132787,1219877, 60.00
1578573,1132796,1219921, 150.00
1578586,1132799,1219934, 150.00
1578605,1132804,1219953, 150.00
1578635,1132817,1219983, 75.00
1578637,1132818,1219985, 75.00
1578641,1132820,1219989, 150.00
1578655,1132823,1220004, 75.00
1578672,1132827,1220021, 30.00
1578711,1132843,1220062, 75.00
1578782,1132857,1220133, 150.00
1578825,1132872,1220179, 150.00
1578860,1132891,1220208, 150.00
1578901,1132908,1220249, 75.00
1578906,1132912,1220255, 150.00
1578927,1132924,1220277, 75.00
1578936,1132928,1220285, 75.00
1578947,1132932,1220296, 39.00
1578961,1132939,1220309, 150.00
1578991,1132957,1220337, 135.00
1579010,1132967,1220354, 60.00
1579022,1132969,1220364, 150.00
1579073,1132985,1220413, 75.00
1579089,1132988,1220428, 75.00
1579102,1132992,1220442, 120.00
1579135,1133002,1220467, 75.00
1579136,1133003,1220470, 75.00
1579146,1133007,1220476, 60.00
1579187,1133023,1220517, 75.00
1579197,1133029,1220526, 75.00
1579200,1133030,1220532, 150.00
1579285,1133053,1220618, 75.00
1579380,1133094,1220722, 150.00
1579464,1133118,1220809, 75.00
1579473,1133122,1220819, 150.00
1579494,1133132,1220840, 75.00
1579531,1133147,1220878, 75.00
1579541,1133151,1220891, 150.00
1579549,1133156,1220898, 75.00
1579583,1133166,1220933, 90.00
1579586,1133168,1220938, 60.00
1595030,1137366,1235602, 150.00
1579590,1133169,1220941, 75.00
1579601,1133174,1220952, 15.00
1579606,1133178,1220956, 45.00
1579658,1133202,1221013, 75.00
1579690,1133215,1221043, 75.00
1579715,1133225,1221069, 75.00
1579716,1133226,1221070, 75.00
1579727,1133230,1221081, 30.00
1579793,1133255,1221149, 75.00
1579843,1133269,1221200, 75.00
1579849,1133272,1221207, 60.00
1579848,1133271,1221206, 150.00
1579876,1133280,1221237, 75.00
1579877,1133281,1221238, 150.00
1579894,1133285,1221258, 150.00
1579913,1133291,1221278, 39.00
1580265,1133469,1221556, 60.00
1580313,1133478,1221608, 39.00
1580386,1133503,1221683, 60.00
1581420,1133632,1222739, 60.00
1581793,1133743,1223123, 39.00
1582040,1133842,1223365, 180.00
1582097,1133864,1223424, 45.00
1589246,1136351,1230336, 49.00
1582446,1133981,1223786, 60.00
1628880,1146021,1260695, 49.00
1582829,1134120,1224179, 39.00
1582842,1134127,1224192, 78.00
1582924,1134146,1224272, 39.00
1582933,1134150,1224281, 39.00
1582943,1134155,1224291, 39.00
1582944,1134156,1224292, 39.00
1582960,1134171,1224308, 39.00
1582987,1134179,1224335, 39.00
1582988,1134180,1224337, 78.00
1582991,1134181,1224339, 39.00
1583001,1134190,1224349, 39.00
1583015,1134200,1224363, 39.00
1583038,1134212,1224386, 78.00
1583072,1134234,1224419, 78.00
1583076,1134237,1224422, 39.00
1583077,1134238,1224424, 78.00
1583079,1134239,1224425, 39.00
1583087,1134243,1224432, 39.00
1583092,1134247,1224436, 39.00
1583094,1134249,1224438, 39.00
1583104,1134254,1224446, 39.00
1583106,1134256,1224448, 39.00
1583119,1134262,1224460, 39.00
1583131,1134270,1224471, 78.00
1583137,1134272,1224476, 78.00
1583195,1134304,1224531, 39.00
1583258,1134329,1224580, 39.00
1583263,1134332,1224584, 78.00
1583265,1134334,1224586, 39.00
1583328,1134369,1224648, 39.00
1583365,1134392,1224684, 39.00
1583420,1134422,1224738, 39.00
1583446,1134435,1224764, 39.00
1583486,1134452,1224801, 78.00
1583510,1134463,1224823, 39.00
1583546,1134478,1224861, 78.00
1583541,1134476,1224855, 45.00
1583592,1134502,1224902, 39.00
1583669,1134540,1224979, 39.00
1583679,1134544,1224985, 78.00
1583685,1134547,1224991, 39.00
1583701,1134554,1225002, 39.00
1583708,1134558,1225008, 39.00
1583713,1134562,1225014, 39.00
1583717,1134564,1225017, 39.00
1583720,1134567,1225020, 78.00
1583733,1134573,1225032, 39.00
1583736,1134575,1225038, 78.00
1583740,1134576,1225039, 39.00
1583799,1134599,1225088, 39.00
1583849,1134622,1225129, 39.00
1583850,1134623,1225130, 39.00
1583858,1134629,1225138, 39.00
1583963,1134670,1225231, 78.00
1584017,1134687,1225270, 78.00
1584028,1134693,1225280, 78.00
1584091,1134698,1225749, 39.00
1584136,1134699,1225960, 39.00
1584213,1134706,1225970, 78.00
1584569,1134718,1226003, 39.00
1584600,1134720,1226009, 78.00
1584944,1134786,1226160, 39.00
1584957,1134793,1226174, 78.00
1584965,1134798,1226181, 78.00
1584978,1134803,1226194, 39.00
1584996,1134813,1226212, 39.00
1585016,1134823,1226233, 78.00
1585024,1134829,1226243, 30.00
1585047,1134840,1226264, 39.00
1585040,1134836,1226257, 39.00
1585060,1134845,1226277, 39.00
1585082,1134853,1226299, 39.00
1585118,1134862,1226337, 39.00
1585128,1134869,1226345, 39.00
1585152,1134883,1226371, 329.00
1585147,1134880,1226366, 39.00
1585166,1134888,1226385, 39.00
1585184,1134901,1226401, 39.00
1585198,1134910,1226418, 39.00
1585205,1134916,1226425, 78.00
1585217,1134921,1226439, 78.00
1585219,1134923,1226441, 78.00
1585239,1134935,1226461, 39.00
1585241,1134936,1226463, 39.00
1585242,1134937,1226464, 39.00
1585322,1134965,1226543, 78.00
1585328,1134969,1226551, 39.00
1585370,1134985,1226592, 117.00
1585373,1134986,1226595, 117.00
1585378,1134989,1226600, 39.00
1585379,1134990,1226601, 39.00
1585381,1134991,1226603, 156.00
1585383,1134993,1226605, 39.00
1585418,1135002,1226640, 39.00
1585419,1135003,1226641, 39.00
1585421,1135005,1226643, 39.00
1585425,1135008,1226647, 39.00
1585620,1135091,1226842, 39.00
1585625,1135095,1226848, 329.00
1585691,1135131,1226913, 39.00
1585692,1135132,1226914, 39.00
1585777,1135170,1226998, 39.00
1585802,1135183,1227022, 39.00
1585806,1135186,1227026, 39.00
1585815,1135190,1227035, 78.00
1585820,1135191,1227036, 117.00
1585825,1135194,1227043, 39.00
1585879,1135219,1227092, 39.00
1585898,1135229,1227105, 39.00
1585911,1135237,1227116, 117.00
1585921,1135243,1227126, 39.00
1585926,1135246,1227130, 39.00
1585925,1135245,1227129, 39.00
1586040,1135304,1227231, 39.00
1586048,1135309,1227237, 39.00
1586235,1135421,1227418, 78.00
1586249,1135430,1227432, 39.00
1586281,1135443,1227454, 39.00
1586321,1135463,1227485, 78.00
1586324,1135464,1227488, 39.00
1586330,1135466,1227496, 39.00
1586343,1135473,1227507, 39.00
1586348,1135476,1227511, 39.00
1586355,1135480,1227516, 39.00
1586361,1135483,1227523, 39.00
1586382,1135491,1227543, 39.00
1586389,1135495,1227548, 78.00
1586411,1135503,1227568, 39.00
1586419,1135508,1227576, 78.00
1586422,1135510,1227579, 78.00
1586441,1135519,1227594, 39.00
1586460,1135533,1227613, 39.00
1586464,1135534,1227617, 39.00
1586479,1135544,1227630, 39.00
1586483,1135545,1227632, 39.00
1586489,1135547,1227636, 39.00
1586545,1135559,1227800, 39.00
1586648,1135564,1228693, 39.00
1586799,1135568,1228809, 329.00
1587200,1135593,1228857, 156.00
1586877,1135572,1228814, 78.00
1586991,1135578,1228827, 39.00
1587069,1135583,1228838, 39.00
1587079,1135584,1228839, 39.00
1587169,1135590,1228852, 78.00
1587269,1135595,1228862, 39.00
1587389,1135597,1228869, 39.00
1587323,1135596,1228864, 78.00
1587781,1135610,1228908, 39.00
1587784,1135612,1228911, 39.00
1587853,1135642,1228973, 39.00
1587889,1135654,1229008, 78.00
1587900,1135661,1229020, 39.00
1587902,1135662,1229023, 78.00
1588347,1135850,1229470, 78.00
1587958,1135683,1229080, 78.00
1587961,1135684,1229081, 78.00
1588024,1135714,1229148, 39.00
1588029,1135718,1229154, 39.00
1588044,1135726,1229166, 39.00
1588045,1135727,1229168, 39.00
1588137,1135758,1229261, 39.00
1588144,1135761,1229267, 39.00
1588149,1135763,1229271, 39.00
1588194,1135786,1229317, 78.00
1588199,1135788,1229322, 39.00
1588202,1135789,1229325, 468.00
1588229,1135800,1229352, 39.00
1594968,1137328,1235536, 45.00
1588235,1135801,1229358, 39.00
1588256,1135804,1229379, 39.00
1588270,1135805,1229393, 39.00
1588280,1135809,1229403, 39.00
1588294,1135817,1229417, 39.00
1588315,1135830,1229438, 39.00
1588317,1135832,1229440, 39.00
1588318,1135833,1229441, 39.00
1588324,1135837,1229447, 156.00
1588325,1135838,1229450, 78.00
1588332,1135842,1229455, 78.00
1588346,1135849,1229469, 39.00
1588352,1135854,1229475, 39.00
1588367,1135866,1229489, 39.00
1588372,1135870,1229495, 39.00
1588391,1135881,1229515, 39.00
1588393,1135882,1229517, 39.00
1588394,1135883,1229518, 78.00
1588395,1135884,1229519, 39.00
1588403,1135887,1229527, 39.00
1588407,1135889,1229531, 39.00
1588416,1135895,1229539, 39.00
1588415,1135894,1229538, 39.00
1588474,1135923,1229592, 45.00
1588475,1135924,1229595, 195.00
